epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.8988,2.8946,0.1299,0.1468,0.0593
2,2.4026,2.3114,0.1828,0.2156,0.1244
3,2.2098,2.0462,0.2322,0.289,0.1705
4,2.0395,2.0141,0.2402,0.2844,0.1733
5,1.8761,1.706,0.3218,0.3624,0.2528
6,1.667,1.5743,0.3747,0.4128,0.2912
7,1.5904,1.5104,0.3529,0.3853,0.2692
8,1.5353,1.4858,0.3793,0.4358,0.3218
9,1.5013,1.4665,0.4,0.4312,0.3203
10,1.4988,1.4165,0.4195,0.4495,0.3525
11,1.4401,1.3822,0.4586,0.4862,0.4158
12,1.4055,1.3857,0.4839,0.4817,0.4137
13,1.3458,1.3368,0.5195,0.5183,0.4629
14,1.3402,1.293,0.5207,0.5459,0.4969
15,1.3254,1.3037,0.5207,0.5505,0.5079
16,1.3117,1.272,0.5391,0.5642,0.5302
17,1.2858,1.2686,0.5356,0.5505,0.4968
18,1.2908,1.2127,0.5471,0.5963,0.5548
19,1.2385,1.277,0.5782,0.5092,0.4487
20,1.287,1.2082,0.5379,0.5826,0.5448
21,1.2062,1.1779,0.5816,0.5963,0.5612
22,1.1752,1.1838,0.6046,0.6055,0.5671
23,1.1885,1.1863,0.592,0.6009,0.5691
24,1.1575,1.1518,0.6,0.6376,0.5953
25,1.1525,1.1684,0.6149,0.6147,0.5681
26,1.1198,1.1424,0.6391,0.6147,0.5824
27,1.1232,1.1391,0.631,0.6239,0.5778
28,1.1114,1.1254,0.6402,0.633,0.6036
29,1.0997,1.1133,0.6345,0.633,0.5899
30,1.0987,1.1026,0.654,0.6376,0.6167
31,1.0661,1.1058,0.6736,0.656,0.6269
32,1.0574,1.1016,0.6724,0.6376,0.6118
33,1.0573,1.0991,0.6621,0.6468,0.6183
34,1.037,1.0907,0.6943,0.6284,0.5886
35,1.0657,1.1317,0.6724,0.656,0.627
36,1.0477,1.0856,0.6908,0.656,0.6372
37,1.0428,1.0812,0.6874,0.6514,0.631
38,1.0385,1.0821,0.6828,0.6514,0.6312
39,1.0332,1.0851,0.6931,0.6606,0.6323
40,1.0396,1.0842,0.692,0.6514,0.6284
