class,precision,recall,f1_score,support
Intercrop_Anabel,0.6667,0.6667,0.6667,3
Intercrop_Anabel_Fanfare,0.8,0.6667,0.7273,6
Intercrop_Fanfare,0.3333,0.1667,0.2222,6
Intercrop_Sorbas,1.0,0.3333,0.5,3
Intercrop_Sorbas_Fanfare,0.6667,0.6667,0.6667,6
Maize_Caramelo,0.1667,0.0769,0.1053,13
Maize_Khan,0.3889,0.5385,0.4516,13
Maize_Mirza,0.6667,0.6154,0.64,13
Maize_Popcorn_Robust,0.375,0.4615,0.4138,13
Potato_Belana,0.7143,0.7692,0.7407,26
Potato_Gala,0.6429,0.6923,0.6667,26
Soybean_Eiko,0.9091,0.7692,0.8333,13
Soybean_Minngold,0.8,0.9231,0.8571,13
SugarBeet_BTS440_H0,1.0,1.0,1.0,3
SugarBeet_BTS440_H100,1.0,0.6667,0.8,3
SugarBeet_BTS440_H50,0.75,1.0,0.8571,3
SugarBeet_BTS440_H75,1.0,0.6667,0.8,3
Wheat_Granus_150,0.35,0.5385,0.4242,13
Wheat_Granus_250,0.2353,0.3077,0.2667,13
Wheat_Granus_350,0.3,0.2308,0.2609,13
Wheat_Granus_450,0.75,0.4615,0.5714,13
