epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.8886,2.4539,0.1593,0.2175,0.148
2,2.1965,2.0281,0.3091,0.3614,0.2655
3,1.9393,1.7824,0.3707,0.4058,0.3037
4,1.7827,1.7125,0.4152,0.4028,0.3265
5,1.6811,1.79,0.445,0.3767,0.3105
6,1.6308,1.5884,0.4462,0.4686,0.406
7,1.5473,1.7205,0.4849,0.4977,0.4613
8,1.5253,1.5345,0.5147,0.4962,0.4407
9,1.4937,1.4192,0.5316,0.5237,0.4707
10,1.4201,1.4204,0.5442,0.5498,0.5031
11,1.3891,1.4836,0.5416,0.4931,0.4616
12,1.3837,1.4016,0.5511,0.5881,0.5463
13,1.333,1.3467,0.5749,0.5452,0.5183
14,1.3214,1.3609,0.5833,0.5911,0.5724
15,1.2611,1.2388,0.589,0.585,0.5303
16,1.2292,1.332,0.6036,0.5467,0.5214
17,1.2212,1.3953,0.6109,0.5421,0.5225
18,1.2165,1.2729,0.6162,0.5758,0.5542
19,1.1808,1.1804,0.6289,0.6156,0.5983
20,1.1646,1.1615,0.6201,0.6325,0.5966
21,1.1187,1.1749,0.6457,0.6202,0.6005
22,1.1104,1.212,0.6442,0.6172,0.5726
23,1.0597,1.0922,0.6664,0.6524,0.6181
24,1.0819,1.1168,0.6695,0.6524,0.6332
25,1.066,1.0641,0.6649,0.6861,0.6776
26,1.0539,1.3174,0.6825,0.6417,0.6146
27,1.0682,1.0789,0.6775,0.6861,0.6571
28,1.0294,1.0774,0.6825,0.6631,0.6491
29,1.0218,1.0826,0.6871,0.6631,0.6445
30,0.9882,1.0843,0.7105,0.6753,0.6644
31,0.9911,1.0173,0.7043,0.7014,0.6856
32,0.9664,1.0388,0.7051,0.6708,0.6547
33,0.9623,1.0614,0.7227,0.6907,0.6875
34,0.9777,0.9902,0.7089,0.7121,0.6991
35,0.9509,1.0403,0.7239,0.6784,0.6616
36,0.9367,0.9753,0.7354,0.7182,0.7055
37,0.9178,0.9737,0.7407,0.7305,0.7276
38,0.9317,0.9558,0.7407,0.7366,0.7245
39,0.9122,0.9578,0.7442,0.7427,0.7311
40,0.9229,0.9795,0.7518,0.7305,0.7198
41,0.9099,0.9532,0.7564,0.7443,0.7365
42,0.8857,0.9603,0.7618,0.7534,0.7495
43,0.8868,0.9545,0.7683,0.7366,0.7316
44,0.8754,0.9571,0.7714,0.758,0.7519
45,0.8729,0.9411,0.7717,0.758,0.7541
46,0.8711,0.9251,0.7786,0.7657,0.761
47,0.8751,0.9343,0.7679,0.7642,0.758
48,0.8581,0.9188,0.7855,0.7688,0.7664
49,0.8531,0.9211,0.7855,0.7657,0.7603
50,0.8614,0.9374,0.7871,0.7688,0.7645
51,0.8637,0.9151,0.7897,0.7703,0.7642
52,0.8514,0.9226,0.7978,0.7657,0.76
53,0.8407,0.9264,0.7897,0.7703,0.7657
54,0.8383,0.9242,0.8024,0.7749,0.7696
55,0.841,0.9129,0.8043,0.7779,0.7737
56,0.8453,0.9169,0.8093,0.7764,0.7711
57,0.8363,0.9258,0.7997,0.7795,0.7755
58,0.8446,0.9247,0.7966,0.781,0.7771
59,0.8397,0.9193,0.7982,0.7856,0.7817
60,0.8359,0.9119,0.8031,0.781,0.7767
