class,precision,recall,f1_score,support
Intercrop_Anabel,0.7692,1.0,0.8696,10
Intercrop_Anabel_Fanfare,0.95,1.0,0.9744,19
Intercrop_Fanfare,0.95,1.0,0.9744,19
Intercrop_Sorbas,1.0,0.8,0.8889,10
Intercrop_Sorbas_Fanfare,1.0,0.8947,0.9444,19
Maize_Caramelo,0.4,0.2105,0.2759,38
Maize_Khan,0.5385,0.5526,0.5455,38
Maize_Mirza,0.6444,0.7632,0.6988,38
Maize_Popcorn_Robust,0.3542,0.4474,0.3953,38
Potato_Belana,0.8571,0.9351,0.8944,77
Potato_Gala,0.9275,0.8312,0.8767,77
Soybean_Eiko,1.0,0.9744,0.987,39
Soybean_Minngold,0.9744,1.0,0.987,38
SugarBeet_BTS440_H0,1.0,0.9,0.9474,10
SugarBeet_BTS440_H100,0.7273,0.8,0.7619,10
SugarBeet_BTS440_H50,0.8333,1.0,0.9091,10
SugarBeet_BTS440_H75,0.9091,1.0,0.9524,10
Wheat_Granus_150,0.7391,0.8947,0.8095,38
Wheat_Granus_250,0.7222,0.6667,0.6933,39
Wheat_Granus_350,0.7568,0.7368,0.7467,38
Wheat_Granus_450,0.9032,0.7368,0.8116,38
