epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.4457,2.0766,0.2053,0.2772,0.1902
2,1.8071,3.0034,0.3171,0.2312,0.1667
3,1.5488,1.7027,0.4102,0.3874,0.3119
4,1.4499,1.4123,0.4527,0.4763,0.4139
5,1.3494,1.3229,0.4948,0.5115,0.4631
6,1.3146,1.2314,0.5339,0.5605,0.5054
7,1.2714,1.2071,0.5576,0.5712,0.5172
8,1.2303,1.2158,0.571,0.5896,0.5397
9,1.1839,1.1574,0.5979,0.608,0.5745
10,1.1998,1.1207,0.6044,0.6309,0.6023
11,1.1567,1.1133,0.6159,0.6386,0.6065
12,1.1391,1.0873,0.6266,0.6677,0.6396
13,1.1161,1.0534,0.6342,0.6769,0.6543
14,1.1084,1.1292,0.6327,0.6233,0.596
15,1.0692,1.0964,0.6626,0.6141,0.5819
16,1.0773,1.1371,0.6733,0.6294,0.6037
17,1.0341,0.9929,0.6833,0.6937,0.6879
18,1.0335,0.9899,0.6798,0.7075,0.7016
19,1.0077,0.9481,0.6909,0.7228,0.7082
20,0.9778,0.9447,0.7093,0.7075,0.6906
21,0.9677,0.9463,0.7135,0.7182,0.7076
22,0.9465,0.9737,0.7265,0.6922,0.6717
23,0.9465,0.9849,0.7143,0.683,0.6601
24,0.928,0.9944,0.7281,0.706,0.677
25,0.9087,0.943,0.7361,0.706,0.6892
26,0.923,0.8947,0.7346,0.7397,0.7318
27,0.8865,0.9944,0.7583,0.6769,0.6768
28,0.8774,0.8563,0.7537,0.758,0.7582
29,0.8336,0.8838,0.7805,0.7596,0.7571
30,0.8432,0.8394,0.7721,0.758,0.7527
31,0.8532,0.8887,0.7717,0.7305,0.725
32,0.8357,0.9244,0.7786,0.7243,0.7172
33,0.8157,0.8693,0.7966,0.7626,0.7582
34,0.8077,0.9413,0.7932,0.7259,0.7175
35,0.7968,0.8036,0.7985,0.7887,0.7844
36,0.8055,0.8937,0.7962,0.7381,0.7306
37,0.7801,0.7826,0.8097,0.7856,0.7841
38,0.7736,0.8086,0.8047,0.7871,0.783
39,0.7537,0.8304,0.8242,0.758,0.7563
40,0.7449,0.8758,0.8257,0.7642,0.7547
41,0.7517,0.7369,0.8173,0.8055,0.8039
42,0.7318,0.735,0.833,0.8086,0.8076
43,0.7252,0.8053,0.8342,0.7887,0.7831
44,0.7184,0.7682,0.8334,0.7917,0.7887
45,0.7233,0.8039,0.8284,0.7779,0.776
46,0.7194,0.7634,0.8334,0.7979,0.7966
47,0.6874,0.7645,0.8541,0.8055,0.8031
48,0.6873,0.726,0.8514,0.827,0.8255
49,0.6869,0.7187,0.8499,0.83,0.8293
50,0.6649,0.7771,0.8648,0.8025,0.7995
51,0.6717,0.7102,0.8587,0.8331,0.8287
52,0.6835,0.7028,0.8606,0.8315,0.8315
53,0.6542,0.7024,0.8759,0.8423,0.8414
54,0.6358,0.7557,0.8782,0.8178,0.8152
55,0.6294,0.7096,0.8824,0.827,0.825
56,0.6413,0.7246,0.8682,0.8254,0.8237
57,0.6325,0.6756,0.8813,0.8438,0.8401
58,0.6356,0.7015,0.8786,0.8438,0.8402
59,0.6086,0.6821,0.8855,0.8515,0.8502
60,0.6082,0.6732,0.8882,0.8515,0.85
61,0.6179,0.7067,0.884,0.8469,0.8462
62,0.6057,0.6483,0.8908,0.8591,0.8569
63,0.5934,0.6739,0.8981,0.8499,0.8483
64,0.6013,0.6718,0.8954,0.8591,0.8579
65,0.5907,0.6583,0.8993,0.8683,0.8678
66,0.5998,0.6602,0.892,0.8637,0.8621
67,0.5888,0.6652,0.8997,0.8606,0.8587
68,0.5871,0.6709,0.9039,0.8515,0.85
69,0.601,0.6543,0.8951,0.876,0.8742
70,0.5822,0.6507,0.902,0.8698,0.8681
71,0.58,0.6464,0.8985,0.8744,0.873
72,0.5876,0.6463,0.9023,0.8683,0.8666
73,0.5765,0.6478,0.9119,0.8683,0.8671
74,0.5741,0.6534,0.9039,0.8683,0.8663
75,0.5815,0.646,0.902,0.8729,0.871
76,0.5737,0.6446,0.9046,0.8744,0.8728
77,0.5698,0.6459,0.905,0.8683,0.8668
78,0.5768,0.6533,0.9031,0.8714,0.8696
79,0.5649,0.6544,0.9142,0.8698,0.8676
80,0.574,0.6451,0.9073,0.8668,0.8648
