class,precision,recall,f1_score,support
Intercrop_Anabel,0.7778,0.7,0.7368,10
Intercrop_Anabel_Fanfare,0.9,0.9474,0.9231,19
Intercrop_Fanfare,1.0,1.0,1.0,19
Intercrop_Sorbas,0.8889,0.8,0.8421,10
Intercrop_Sorbas_Fanfare,0.9,0.9474,0.9231,19
Maize_Caramelo,0.8214,0.6053,0.697,38
Maize_Khan,0.7273,0.8421,0.7805,38
Maize_Mirza,0.6857,0.6316,0.6575,38
Maize_Popcorn_Robust,0.6444,0.7632,0.6988,38
Potato_Belana,0.987,0.987,0.987,77
Potato_Gala,0.9747,1.0,0.9872,77
Soybean_Eiko,1.0,1.0,1.0,39
Soybean_Minngold,1.0,1.0,1.0,38
SugarBeet_BTS440_H0,0.9091,1.0,0.9524,10
SugarBeet_BTS440_H100,0.9,0.9,0.9,10
SugarBeet_BTS440_H50,0.9,0.9,0.9,10
SugarBeet_BTS440_H75,1.0,1.0,1.0,10
Wheat_Granus_150,0.8261,1.0,0.9048,38
Wheat_Granus_250,0.8485,0.7179,0.7778,39
Wheat_Granus_350,0.8056,0.7632,0.7838,38
Wheat_Granus_450,0.8857,0.8158,0.8493,38
