epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.5112,2.1449,0.1901,0.25,0.1786
2,1.89,1.704,0.2975,0.3893,0.28
3,1.6831,2.9445,0.3512,0.1836,0.1198
4,1.5985,1.5561,0.3923,0.4375,0.3599
5,1.5174,1.5179,0.4339,0.418,0.3522
6,1.5085,1.9509,0.4583,0.3568,0.2656
7,1.4665,1.3119,0.4785,0.5469,0.4978
8,1.3952,1.759,0.5133,0.4115,0.3494
9,1.346,1.2637,0.5316,0.5781,0.5073
10,1.2851,1.2373,0.5745,0.5911,0.5426
11,1.2324,1.1051,0.5954,0.6914,0.6535
12,1.1957,1.1666,0.6195,0.6237,0.5769
13,1.1306,1.3794,0.6426,0.5378,0.4949
14,1.0782,1.0728,0.6696,0.6732,0.6331
15,1.0659,1.0402,0.6631,0.6732,0.6355
16,1.0334,1.1086,0.6846,0.6497,0.6048
17,0.9972,0.9531,0.6911,0.737,0.7206
18,0.9805,0.9964,0.7135,0.6914,0.6709
19,0.9453,1.0991,0.7233,0.6432,0.6112
20,0.91,0.9287,0.7503,0.7331,0.71
21,0.913,0.8233,0.7533,0.8086,0.799
22,0.8245,0.7588,0.7965,0.8177,0.8033
23,0.8095,0.7889,0.8047,0.8034,0.7958
24,0.7924,0.7759,0.807,0.7982,0.782
25,0.7512,0.758,0.8262,0.8216,0.8104
26,0.7367,0.6889,0.8359,0.8646,0.8558
27,0.7279,0.6653,0.8379,0.8646,0.8588
28,0.7219,0.786,0.8408,0.7982,0.7889
29,0.7008,1.292,0.8457,0.638,0.6113
30,0.6772,0.6555,0.8626,0.8737,0.8709
31,0.653,0.7599,0.8695,0.8268,0.8205
32,0.6462,0.6993,0.876,0.8633,0.8609
33,0.642,0.6228,0.8786,0.8906,0.8858
34,0.6314,0.618,0.8835,0.8841,0.8771
35,0.6279,0.7032,0.8792,0.8516,0.8448
36,0.6149,0.664,0.8936,0.8646,0.8613
37,0.6003,0.5925,0.8968,0.9102,0.9109
38,0.5937,0.6208,0.9001,0.8802,0.8766
39,0.5927,0.583,0.8971,0.9089,0.9073
40,0.5832,0.5597,0.9095,0.9258,0.9262
41,0.5577,0.6396,0.9157,0.8893,0.8866
42,0.5701,0.564,0.9157,0.9245,0.9246
43,0.5575,0.5643,0.9196,0.9206,0.9194
44,0.535,0.5343,0.9242,0.9284,0.9281
45,0.5296,0.5296,0.9297,0.9362,0.9362
46,0.5344,0.5332,0.9248,0.9349,0.9344
47,0.5282,0.5057,0.9284,0.9401,0.9401
48,0.5167,0.5266,0.9333,0.9284,0.9276
49,0.5193,0.5122,0.9339,0.9375,0.9374
50,0.5051,0.5107,0.943,0.9401,0.9401
51,0.4905,0.5126,0.9479,0.9375,0.9374
52,0.503,0.4996,0.9417,0.9427,0.9425
53,0.5119,0.4982,0.9352,0.9388,0.9391
54,0.4943,0.4967,0.946,0.9401,0.9402
55,0.4981,0.4964,0.9443,0.9453,0.9452
56,0.4903,0.492,0.946,0.9479,0.9478
57,0.485,0.4896,0.9535,0.9479,0.9476
58,0.5041,0.4904,0.9434,0.9466,0.9467
59,0.4855,0.4981,0.9528,0.9401,0.9402
60,0.4881,0.4921,0.9486,0.9401,0.9402
