class,precision,recall,f1_score,support
Mixture (faba)_Fanfare_FB_B,0.9474,0.9474,0.9474,19
Mixture (faba-wheat)_Anabel&Fanfare_Mix_B_2,0.8947,0.8947,0.8947,19
Mixture (faba-wheat)_Sorbas&Fanfare_Mix_B_10,0.8235,0.7368,0.7778,19
Mixture (wheat)_Anabel_SW_2,0.9091,1.0,0.9524,10
Mixture (wheat)_Sorbas_SW_10,0.8182,0.9,0.8571,10
Potato_Belana,0.9589,0.9091,0.9333,77
Potato_Gala,0.9868,0.974,0.9804,77
Soybean_Eiko,0.973,0.9474,0.96,38
Soybean_Minngold,0.973,0.9474,0.96,38
Sugar Beet_BTS 440_Herbicide 100%,0.973,0.9474,0.96,38
Sugar Beet_BTS 440_Herbicide: 0%,0.973,0.9474,0.96,38
Sugar Beet_BTS 440_Herbicide: 50%,0.8444,0.9744,0.9048,39
Sugar Beet_BTS 440_Herbicide: 75%,0.9737,0.9737,0.9737,38
Sugar Corn_Caramelo,0.7222,0.6667,0.6933,39
Sugar Corn_Khan,0.6579,0.641,0.6494,39
Sugar Corn_Mirza,0.725,0.7632,0.7436,38
Sugar Corn_PopcornRobust,0.7436,0.7632,0.7532,38
Summerwheat_Granus_150,0.7333,0.8462,0.7857,39
Summerwheat_Granus_250,0.6667,0.6316,0.6486,38
Summerwheat_Granus_350,0.65,0.6667,0.6582,39
Summerwheat_Granus_450,0.7297,0.7105,0.72,38
