class,precision,recall,f1_score,support
Intercrop_Anabel,1.0,0.7,0.8235,10
Intercrop_Anabel_Fanfare,0.8571,0.9474,0.9,19
Intercrop_Fanfare,1.0,1.0,1.0,19
Intercrop_Sorbas,0.9,0.9,0.9,10
Intercrop_Sorbas_Fanfare,0.9474,0.9474,0.9474,19
Maize_Caramelo,0.6071,0.4474,0.5152,38
Maize_Khan,0.6444,0.7632,0.6988,38
Maize_Mirza,0.6316,0.6316,0.6316,38
Maize_Popcorn_Robust,0.5366,0.5789,0.557,38
Potato_Belana,0.9733,0.9481,0.9605,77
Potato_Gala,0.95,0.987,0.9682,77
Soybean_Eiko,1.0,0.9744,0.987,39
Soybean_Minngold,0.9744,1.0,0.987,38
SugarBeet_BTS440_H0,0.8333,1.0,0.9091,10
SugarBeet_BTS440_H100,1.0,0.9,0.9474,10
SugarBeet_BTS440_H50,1.0,1.0,1.0,10
SugarBeet_BTS440_H75,1.0,1.0,1.0,10
Wheat_Granus_150,0.6889,0.8158,0.747,38
Wheat_Granus_250,0.6154,0.6154,0.6154,39
Wheat_Granus_350,0.8286,0.7632,0.7945,38
Wheat_Granus_450,0.9091,0.7895,0.8451,38
