epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.6419,2.439,0.1624,0.2542,0.1535
2,2.0033,1.7794,0.3068,0.3706,0.2664
3,1.6532,1.4761,0.3792,0.4701,0.394
4,1.4981,1.8472,0.424,0.3614,0.2743
5,1.44,1.4314,0.4477,0.4288,0.3373
6,1.3675,1.2639,0.4971,0.5636,0.4949
7,1.3039,1.2794,0.5239,0.4931,0.4146
8,1.2407,1.2071,0.5527,0.5789,0.5191
9,1.1952,1.3515,0.6021,0.5191,0.4469
10,1.1604,1.1528,0.6266,0.6508,0.6204
11,1.1304,1.2593,0.6415,0.5773,0.5303
12,1.0753,1.0288,0.6603,0.6998,0.6759
13,1.0337,1.0742,0.6917,0.6845,0.6507
14,0.9978,1.0579,0.7185,0.6845,0.6462
15,0.932,1.136,0.7422,0.6432,0.6168
16,0.9214,0.9864,0.7518,0.7351,0.7229
17,0.8823,0.886,0.7721,0.7672,0.7533
18,0.876,0.9189,0.7664,0.7412,0.7298
19,0.8341,0.7694,0.7909,0.83,0.8222
20,0.7971,0.8269,0.807,0.7825,0.7649
21,0.7419,0.8872,0.828,0.7611,0.7528
22,0.7538,0.8436,0.8296,0.7948,0.7855
23,0.7469,0.8057,0.8315,0.8147,0.8063
24,0.7232,0.7108,0.8441,0.853,0.8493
25,0.7001,0.6903,0.8533,0.8652,0.8625
26,0.702,0.8033,0.846,0.8162,0.8055
27,0.6892,0.8469,0.851,0.7841,0.7733
28,0.6747,0.6728,0.8717,0.8637,0.8586
29,0.6663,0.6533,0.8629,0.8928,0.8912
30,0.6514,0.9745,0.8805,0.758,0.7357
31,0.655,0.9536,0.8767,0.7795,0.7651
32,0.6348,0.8296,0.8851,0.7917,0.7806
33,0.631,0.6999,0.8836,0.8499,0.8463
34,0.6097,0.7108,0.8958,0.8469,0.8438
35,0.5904,0.6494,0.9023,0.8821,0.8806
36,0.5954,0.6387,0.8916,0.8821,0.8828
37,0.5876,0.6145,0.9035,0.8959,0.8942
38,0.5847,0.591,0.8947,0.8974,0.8947
39,0.5717,0.6371,0.9115,0.8897,0.8877
40,0.5581,0.6265,0.9146,0.8821,0.8799
41,0.5458,0.6231,0.9169,0.8867,0.8845
42,0.5498,0.6314,0.9207,0.8913,0.8899
43,0.5402,0.5906,0.9157,0.902,0.9011
44,0.5398,0.5765,0.92,0.9081,0.9072
45,0.5306,0.6073,0.9215,0.9035,0.9024
46,0.5187,0.6281,0.9318,0.8943,0.893
47,0.5203,0.5825,0.9326,0.9081,0.9067
48,0.5074,0.5884,0.9303,0.9051,0.9038
49,0.5215,0.5723,0.9318,0.9173,0.9164
50,0.4995,0.5777,0.9387,0.9112,0.91
51,0.4926,0.5864,0.9433,0.9081,0.9071
52,0.5041,0.5728,0.9357,0.9158,0.9146
53,0.5004,0.5691,0.9387,0.9142,0.9132
54,0.4999,0.5653,0.9391,0.9204,0.9193
55,0.4968,0.5627,0.9357,0.9204,0.9199
56,0.4895,0.5669,0.9418,0.9188,0.9179
57,0.4943,0.567,0.941,0.9127,0.9115
58,0.4886,0.5639,0.946,0.9219,0.9213
59,0.5006,0.5637,0.9368,0.9188,0.9182
60,0.4826,0.5696,0.9429,0.9188,0.9179
