class,precision,recall,f1_score,support
Intercrop_Anabel,0.7,0.7,0.7,10
Intercrop_Anabel_Fanfare,0.8571,0.9474,0.9,19
Intercrop_Fanfare,0.9474,0.9474,0.9474,19
Intercrop_Sorbas,0.75,0.6,0.6667,10
Intercrop_Sorbas_Fanfare,0.9375,0.7895,0.8571,19
Maize_Caramelo,0.6774,0.5526,0.6087,38
Maize_Khan,0.5946,0.5789,0.5867,38
Maize_Mirza,0.6818,0.7895,0.7317,38
Maize_Popcorn_Robust,0.7317,0.7895,0.7595,38
Potato_Belana,0.9615,0.974,0.9677,77
Potato_Gala,0.9868,0.974,0.9804,77
Soybean_Eiko,0.9286,1.0,0.963,39
Soybean_Minngold,0.9722,0.9211,0.9459,38
SugarBeet_BTS440_H0,1.0,0.9,0.9474,10
SugarBeet_BTS440_H100,1.0,0.6,0.75,10
SugarBeet_BTS440_H50,0.8333,1.0,0.9091,10
SugarBeet_BTS440_H75,0.8,0.8,0.8,10
Wheat_Granus_150,0.6735,0.8684,0.7586,38
Wheat_Granus_250,0.6667,0.6154,0.64,39
Wheat_Granus_350,0.7059,0.6316,0.6667,38
Wheat_Granus_450,0.7895,0.7895,0.7895,38
