class,precision,recall,f1_score,support
Intercrop_Anabel,0.8889,0.8,0.8421,10
Intercrop_Anabel_Fanfare,0.8261,1.0,0.9048,19
Intercrop_Fanfare,0.95,1.0,0.9744,19
Intercrop_Sorbas,1.0,0.7,0.8235,10
Intercrop_Sorbas_Fanfare,0.9444,0.8947,0.9189,19
Maize_Caramelo,0.9737,0.9737,0.9737,38
Maize_Khan,0.973,0.9474,0.96,38
Maize_Mirza,0.9268,1.0,0.962,38
Maize_Popcorn_Robust,1.0,0.9474,0.973,38
Potato_Belana,0.9747,1.0,0.9872,77
Potato_Gala,0.9868,0.974,0.9804,77
Soybean_Eiko,1.0,0.9744,0.987,39
Soybean_Minngold,0.9737,0.9737,0.9737,38
SugarBeet_BTS440_H0,1.0,0.9,0.9474,10
SugarBeet_BTS440_H100,0.875,0.7,0.7778,10
SugarBeet_BTS440_H50,0.7692,1.0,0.8696,10
SugarBeet_BTS440_H75,0.8,0.8,0.8,10
Wheat_Granus_150,0.8605,0.9737,0.9136,38
Wheat_Granus_250,0.75,0.7692,0.7595,39
Wheat_Granus_350,0.7297,0.7105,0.72,38
Wheat_Granus_450,0.9091,0.7895,0.8451,38
