epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.4583,2.0768,0.1942,0.2588,0.144
2,1.8794,1.683,0.2865,0.3752,0.2518
3,1.6213,1.4772,0.3585,0.4717,0.3872
4,1.4714,1.3425,0.4454,0.5176,0.462
5,1.3711,1.333,0.4937,0.5406,0.4943
6,1.3049,1.2348,0.5343,0.5773,0.5454
7,1.2667,1.2199,0.55,0.5865,0.5424
8,1.2254,1.2153,0.5879,0.5942,0.561
9,1.2083,1.1588,0.599,0.6248,0.6008
10,1.169,1.1376,0.6116,0.6371,0.6069
11,1.1317,1.0771,0.627,0.657,0.6318
12,1.1148,1.0717,0.6473,0.6708,0.6486
13,1.0841,1.0511,0.6557,0.6646,0.6488
14,1.069,1.0209,0.6641,0.6769,0.6486
15,1.0573,1.0251,0.6633,0.6784,0.657
16,1.0551,1.0216,0.6672,0.6692,0.6592
17,1.013,1.0147,0.6882,0.683,0.6619
18,0.9934,0.9471,0.6971,0.7167,0.7035
19,0.9766,0.9587,0.7097,0.7305,0.7213
20,0.9598,0.9443,0.717,0.7136,0.7112
21,0.9468,0.9641,0.7231,0.7182,0.708
22,0.9357,1.0462,0.7308,0.6585,0.6511
23,0.9037,1.0247,0.7411,0.709,0.6996
24,0.879,0.898,0.7668,0.7351,0.7343
25,0.8789,0.8916,0.7637,0.7489,0.742
26,0.8631,0.8961,0.7717,0.7427,0.7406
27,0.8507,0.8587,0.7813,0.7657,0.7648
28,0.841,0.9386,0.7848,0.7243,0.7207
29,0.833,0.8695,0.789,0.7795,0.7719
30,0.7995,0.8755,0.7959,0.7626,0.7523
31,0.8035,0.8532,0.7962,0.7642,0.7598
32,0.7905,0.8821,0.8066,0.7611,0.7584
33,0.7799,0.8459,0.8154,0.7718,0.7718
34,0.789,0.8581,0.8131,0.7749,0.7721
35,0.7802,0.8396,0.8066,0.7795,0.7766
36,0.7753,0.8312,0.8177,0.7795,0.7767
37,0.7662,0.8294,0.8257,0.7734,0.7699
38,0.7587,0.8307,0.8269,0.7887,0.7868
39,0.7679,0.8266,0.8208,0.7825,0.7799
40,0.7496,0.8277,0.8342,0.781,0.7787
