class,precision,recall,f1_score,support
Intercrop_Anabel,0.8,0.8,0.8,10
Intercrop_Anabel_Fanfare,0.85,0.8947,0.8718,19
Intercrop_Fanfare,0.95,1.0,0.9744,19
Intercrop_Sorbas,0.875,0.7,0.7778,10
Intercrop_Sorbas_Fanfare,0.8889,0.8421,0.8649,19
Maize_Caramelo,0.4242,0.3684,0.3944,38
Maize_Khan,0.4878,0.5263,0.5063,38
Maize_Mirza,0.6,0.7105,0.6506,38
Maize_Popcorn_Robust,0.5455,0.4737,0.507,38
Potato_Belana,0.95,0.987,0.9682,77
Potato_Gala,0.9481,0.9481,0.9481,77
Soybean_Eiko,1.0,0.9744,0.987,39
Soybean_Minngold,0.9744,1.0,0.987,38
SugarBeet_BTS440_H0,1.0,0.9,0.9474,10
SugarBeet_BTS440_H100,0.8889,0.8,0.8421,10
SugarBeet_BTS440_H50,0.8333,1.0,0.9091,10
SugarBeet_BTS440_H75,0.9,0.9,0.9,10
Wheat_Granus_150,0.8108,0.7895,0.8,38
Wheat_Granus_250,0.6667,0.7179,0.6914,39
Wheat_Granus_350,0.6389,0.6053,0.6216,38
Wheat_Granus_450,0.75,0.7105,0.7297,38
