class,precision,recall,f1_score,support
Intercrop_Anabel,1.0,0.4,0.5714,10
Intercrop_Anabel_Fanfare,0.8,0.8421,0.8205,19
Intercrop_Fanfare,0.8095,0.8947,0.85,19
Intercrop_Sorbas,0.75,0.3,0.4286,10
Intercrop_Sorbas_Fanfare,0.7778,0.7368,0.7568,19
Maize_Caramelo,0.6452,0.5263,0.5797,38
Maize_Khan,0.697,0.6053,0.6479,38
Maize_Mirza,0.4444,0.4211,0.4324,38
Maize_Popcorn_Robust,0.4902,0.6579,0.5618,38
Potato_Belana,0.7356,0.8312,0.7805,77
Potato_Gala,0.7089,0.7273,0.7179,77
Soybean_Eiko,0.875,0.8974,0.8861,39
Soybean_Minngold,0.8919,0.8684,0.88,38
SugarBeet_BTS440_H0,1.0,0.9,0.9474,10
SugarBeet_BTS440_H100,1.0,0.6,0.75,10
SugarBeet_BTS440_H50,0.7692,1.0,0.8696,10
SugarBeet_BTS440_H75,1.0,1.0,1.0,10
Wheat_Granus_150,0.5273,0.7632,0.6237,38
Wheat_Granus_250,0.5556,0.5128,0.5333,39
Wheat_Granus_350,0.5625,0.4737,0.5143,38
Wheat_Granus_450,0.8387,0.6842,0.7536,38
