class,precision,recall,f1_score,support
Intercrop_Anabel,0.7,0.7,0.7,10
Intercrop_Anabel_Fanfare,0.7917,1.0,0.8837,19
Intercrop_Fanfare,1.0,0.9474,0.973,19
Intercrop_Sorbas,0.625,0.5,0.5556,10
Intercrop_Sorbas_Fanfare,0.8125,0.6842,0.7429,19
Maize_Caramelo,0.5814,0.6579,0.6173,38
Maize_Khan,0.6061,0.5263,0.5634,38
Maize_Mirza,0.5952,0.6579,0.625,38
Maize_Popcorn_Robust,0.6176,0.5526,0.5833,38
Potato_Belana,0.7647,0.8442,0.8025,77
Potato_Gala,0.8209,0.7143,0.7639,77
Soybean_Eiko,0.8837,0.9744,0.9268,39
Soybean_Minngold,0.9706,0.8684,0.9167,38
SugarBeet_BTS440_H0,0.9,0.9,0.9,10
SugarBeet_BTS440_H100,1.0,1.0,1.0,10
SugarBeet_BTS440_H50,1.0,1.0,1.0,10
SugarBeet_BTS440_H75,1.0,1.0,1.0,10
Wheat_Granus_150,0.6667,0.8947,0.764,38
Wheat_Granus_250,0.6667,0.6154,0.64,39
Wheat_Granus_350,0.641,0.6579,0.6494,38
Wheat_Granus_450,0.8,0.6316,0.7059,38
