class,precision,recall,f1_score,support
Intercrop_Anabel,0.875,0.7,0.7778,10
Intercrop_Anabel_Fanfare,0.9048,1.0,0.95,19
Intercrop_Fanfare,1.0,1.0,1.0,19
Intercrop_Sorbas,0.9,0.9,0.9,10
Intercrop_Sorbas_Fanfare,0.9474,0.9474,0.9474,19
Maize_Caramelo,0.6923,0.4737,0.5625,38
Maize_Khan,0.6444,0.7632,0.6988,38
Maize_Mirza,0.619,0.6842,0.65,38
Maize_Popcorn_Robust,0.6154,0.6316,0.6234,38
Potato_Belana,0.9865,0.9481,0.9669,77
Potato_Gala,0.9506,1.0,0.9747,77
Soybean_Eiko,1.0,1.0,1.0,39
Soybean_Minngold,1.0,1.0,1.0,38
SugarBeet_BTS440_H0,1.0,0.9,0.9474,10
SugarBeet_BTS440_H100,0.8889,0.8,0.8421,10
SugarBeet_BTS440_H50,0.8333,1.0,0.9091,10
SugarBeet_BTS440_H75,1.0,1.0,1.0,10
Wheat_Granus_150,0.7143,0.9211,0.8046,38
Wheat_Granus_250,0.7576,0.641,0.6944,39
Wheat_Granus_350,0.7429,0.6842,0.7123,38
Wheat_Granus_450,0.8286,0.7632,0.7945,38
