class,precision,recall,f1_score,support
Intercrop_Anabel,0.875,0.7,0.7778,10
Intercrop_Anabel_Fanfare,0.8095,0.8947,0.85,19
Intercrop_Fanfare,1.0,1.0,1.0,19
Intercrop_Sorbas,0.8889,0.8,0.8421,10
Intercrop_Sorbas_Fanfare,0.8947,0.8947,0.8947,19
Maize_Caramelo,0.375,0.2368,0.2903,38
Maize_Khan,0.5476,0.6053,0.575,38
Maize_Mirza,0.5636,0.8158,0.6667,38
Maize_Popcorn_Robust,0.5161,0.4211,0.4638,38
Potato_Belana,0.9367,0.961,0.9487,77
Potato_Gala,0.9359,0.9481,0.9419,77
Soybean_Eiko,0.9744,0.9744,0.9744,39
Soybean_Minngold,0.9737,0.9737,0.9737,38
SugarBeet_BTS440_H0,1.0,0.9,0.9474,10
SugarBeet_BTS440_H100,0.8,0.8,0.8,10
SugarBeet_BTS440_H50,0.8182,0.9,0.8571,10
SugarBeet_BTS440_H75,1.0,1.0,1.0,10
Wheat_Granus_150,0.7234,0.8947,0.8,38
Wheat_Granus_250,0.6757,0.641,0.6579,39
Wheat_Granus_350,0.641,0.6579,0.6494,38
Wheat_Granus_450,0.8571,0.6316,0.7273,38
