epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.4457,2.0766,0.2053,0.2772,0.1902
2,1.8069,2.9805,0.3183,0.2297,0.1632
3,1.5492,1.5818,0.4033,0.3476,0.2501
4,1.4495,1.3758,0.4454,0.4977,0.4248
5,1.3541,1.2857,0.5059,0.5605,0.5151
6,1.3149,1.2265,0.5354,0.5574,0.5114
7,1.2847,1.2411,0.5412,0.5452,0.494
8,1.2372,1.1946,0.5576,0.5896,0.5489
9,1.2047,1.1649,0.5818,0.6279,0.5905
10,1.1904,1.1491,0.6109,0.6018,0.5693
11,1.1624,1.1205,0.6074,0.6156,0.5774
12,1.1371,1.1095,0.625,0.66,0.6285
13,1.1131,1.0761,0.645,0.657,0.6442
14,1.1099,1.1039,0.6415,0.634,0.618
15,1.0718,1.0403,0.6622,0.6738,0.664
16,1.0736,1.0876,0.6626,0.6554,0.6322
17,1.0332,1.0219,0.6852,0.6738,0.6576
18,1.0532,1.0644,0.6733,0.657,0.6383
19,1.0008,0.9777,0.702,0.6998,0.685
20,0.9896,1.0018,0.6951,0.6968,0.6806
21,0.9752,0.9823,0.7139,0.6907,0.6851
22,0.9457,0.9621,0.7308,0.6968,0.6808
23,0.9415,0.9989,0.7258,0.6968,0.6775
24,0.9353,0.9521,0.7296,0.7259,0.7094
25,0.9012,0.9253,0.7445,0.7213,0.7051
26,0.896,0.9157,0.7457,0.7351,0.7303
27,0.8767,0.8884,0.7549,0.7458,0.743
28,0.8751,0.8966,0.7572,0.7443,0.7339
29,0.844,0.8648,0.7725,0.7443,0.7371
30,0.857,0.8531,0.7648,0.7504,0.7366
31,0.8375,0.8711,0.7767,0.7427,0.7342
32,0.8254,0.8352,0.7802,0.7688,0.7585
33,0.8161,0.8391,0.792,0.7657,0.7583
34,0.8156,0.832,0.7886,0.7596,0.7549
35,0.8122,0.8362,0.7825,0.7688,0.7627
36,0.8143,0.8232,0.7817,0.7825,0.7775
37,0.8051,0.8219,0.7959,0.7734,0.769
38,0.8023,0.8205,0.7886,0.7764,0.7689
39,0.7983,0.8163,0.7974,0.7856,0.7798
40,0.7973,0.8167,0.7962,0.7825,0.7756
